Year,Grower,Filed  name,Ph,K,P,Mg,Soil texture,K fert,P fert,Mg fert,Rolling after drilling,Irrigatio ,Pre-emergence Herbicide,Post-emergence Herbicide,Insecticides,Fungicides,Cultiavtions,Drilling date,Harvest date,Variety,Yield,Temp.,Rainfall,Lat,Long
2018,Benacre Farms,Lakey Hill,7.6,2,4,2,,90,15,14,,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,14/04/2018,04/07/2018,BG3,5.5,18.6,78.2,52.19383,1.39067
2018,Benacre Farms,Ravens Rt,7.6,2,4,2,,90,15,14,Y,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,14/04/2018,04/07/2018,BG3,5.5,18.6,78.2,52.19383,1.39067
2020,Benacre Farms,Covehithe Walk,7.7,1,4,2,,90,15,14,,Y, Nirvana," Basagran, Tropotox ", Aphox,,Ploughing,07/04/2020,01/07/2020,GE,6.1,18.1,66.4,52.19383,1.39067
2019,GL Anderson,"Heater, star",7.62,1,4,2,,90,15,12,N,N, Nirvana," Basagran, Tropotox ","Hallmark Zeon, Aphox ", Amistar,,11/04/2019,,GE,5.7,,,52.80034,1.55076
2020,FOSTER HARRISON FARMS,GOWARDS EAST,7.5,1,3,1,SCL,0,0,0,Y,N, Nirvana,,"Hallmark Zeon, Decis Protech ",,Ploughing,07/05/2020,22/07/2020,BE,4.3,18.7,105.2,,
2015,PC Kindred and Son,HWK Triangle,8.1,3,3,3,CL,,,,Y,, Nirvana,,"Hallmark Zeon, Aphox ", Amistar,Intensive Tillage,22/04/2015,16/07/2015,BG,7,17.7,96.6,52.19383,1.39067
2017,PC Kindred and Son,Stone House,8.2,3,3,2,CL,,,,Y,, Nirvana,, Aphox, Amistar,Intensive Tillage,30/05/2017,10/08/2017,ST,6,21,116.6,52.19383,1.39067
2020,PC Kindred and Son,PG Drome,8.3,3,3,3,CL,,,,Y,, Nirvana,,"Hallmark Zeon, Aphox ", Amistar,Intensive Tillage,30/05/2020,15/08/2020,BA,4.6,21.9,104.2,52.19383,1.39067
2020,PC Kindred and Son,PG LHS,8.2,3,3,3,CL,,,,Y,, Nirvana,,"Hallmark Zeon, Aphox ", Amistar,Intensive Tillage,30/05/2020,15/08/2020,BA,4.6,21.9,104.2,52.19383,1.39067
2020,PC Kindred and Son,Valley,8.1,3,3,4,CL,,,,Y,, Nirvana,,"Hallmark Zeon, Aphox ", Amistar,Intensive Tillage,31/05/2020,15/08/2020,BA,5.6,21.9,104.2,52.19383,1.39067
2012,GL Anderson,Star/ Village,7.52,1,3,2,,0,0,12,Y,N,"Glyphosate, Nirvana"," Basagran, Tropotox ","Hallmark Zeon, Aphox ", Amistar,,31/03/2012,15/07/2012,FS,5.2,15.2,350.8,52.80034,1.55076
2017,GL Anderson,School,7.4,1,3,2,,0,0,15,N,N, Nirvana," Basagran, Tropotox ", , Amistar,,20/04/2017,07/07/2017,AA,7.6,18.6,132,52.80034,1.55076
2020,GL Anderson,Village / Home,7.52,1,3,2,,90,15,12,N,N, Nirvana," Basagran, Tropotox ",Hallmark Zeon , Amistar,,16/04/2020,09/07/2020,SL,6.6,18.5,80,52.80034,1.55076
2013,Bedingfield Hall Farms,Webbs,8,3,3,2,CL,,,,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Intensive tillage,08/05/2013,26/07/2013,BG,7.4,17.8,75.7,52.26337,1.21414
2013,Bedingfield Hall Farms,Darleys,8,3,3,2,CL,,,,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Intensive tillage,09/05/2013,26/07/2013,BG,6.2,17.9,75,52.26337,1.21414
2019,FG Taylor,Mortimers,8,3,3,2,Clay Loam,0,0,0,Y,N,"Glyphosate, Nirvana", Tropotox, Decis Protech, Amistar,Ploughing,31/05/2019,,NA,5.6,,,52.1439,1.25783
2013,PC Kindred and Son,57 acres,8.2,3,2,3,CL,,,,Y,, Nirvana,,"Hallmark Zeon, Aphox ", Amistar,Intensive Tillage,23/05/2013,03/08/2013,E9,4.7,20.1,77,52.19383,1.39067
2019,PC Kindred and Son,Bottleneck,7.9,2,2,2,CL,,,,Y,, Nirvana,,"Hallmark Zeon, Aphox ", Amistar,Intensive Tillage,23/05/2019,,NA,4.2,,,52.19383,1.39067
2015,Bedingfield Hall Farms,9 Acres T,8,2,2,2,CL,,,,Y,N,"Glyphosate, Nirvana", Tropotox,"Hallmark Zeon, Aphox ",,Intensive tillage,12/05/2015,24/07/2015,E9,2.7,19.2,158,52.26337,1.21414
2016,Bedingfield Hall Farms,Big Box,7.5,4,2,2,CL,,,,Y,N,"Glyphosate, Nirvana", Tropotox,"Hallmark Zeon, Aphox ",,Intensive tillage,09/06/2016,16/08/2016,NA,3.8,21.3,132.8,52.26337,1.21414
2017,Bedingfield Hall Farms,Kenton Field,7.6,3,2,2,CL,,,,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Intensive tillage,04/06/2017,15/08/2017,ST,3.6,21.2,161.2,52.26337,1.21414
2018,Bedingfield Hall Farms,Broadwater,7.5,3,2,2,CL,,,,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", ,Ploughing,07/06/2018,09/08/2018,ST3,2.4,23.4,52.6,52.26337,1.21414
2011,Bedingfield Hall Farms,40 Acres,7.8,3,2,2,CL,,,,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Intensive tillage,,,,,,,52.26337,1.21414
2015,FG Taylor,Spinney,8,2,2,2,SCL,0,,,Y,N,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,14/04/2015,11/07/2015,CP,5.9,17.4,66.8,52.1439,1.25783
2011,FG Taylor,Tyes,8,2,2,1,Clay Loam,25,Pig Muck,,Y,N,"Glyphosate, Nirvana, Centium",,"Hallmark Zeon, Aphox ", Amistar,Ploughing,,,,,,,52.1439,1.25783
2016,GL Anderson,Whiskers,7.5,1,2,1,,0,0,12,N,N, Nirvana," Basagran, Tropotox ",Hallmark Zeon , ,,14/04/2016,18/07/2016,FS,6,17.1,205.6,52.80034,1.55076
2018,GL Anderson,Millers,7.6,1,2,1,,0,0,12,N,N, Nirvana," Basagran, Tropotox ","Hallmark Zeon, Aphox, Decis Protech ", ,,22/04/2018,13/07/2018,RL3,3.7,19.7,102.8,52.80034,1.55076
2011,GL Anderson,Millers,7.6,1,2,1,,0,0,12,N,N,"Glyphosate, Nirvana", ,Hallmark Zeon , Amistar,,,,,,,,52.80034,1.55076
2016,R.Ellis,bungalow,7.2,2,2,1,SL,,,,N,N,"Nirvana, Centium", Basagran,"Hallmark Zeon, Aphox ",,Ploughing,22/04/2016,18/07/2016,BG,8.5,17.6,136.8,52.76397,1.57433
2015,Benacre Farms,Stack Yard,7.8,3,2,1,,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,11/03/2015,27/06/2015,PM,8.3,14.7,102.4,52.19383,1.39067
2018,Benacre Farms,Shed FF,7.9,2,2,2,,90,15,14,,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,06/04/2018,01/07/2018,BG3,5.3,17.8,85.8,52.19383,1.39067
2018,Benacre Farms,Tank Trap,7.2,3,2,2,,90,15,14,Y,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,15/04/2018,03/07/2018,BG3,5.1,18.6,78.2,52.19383,1.39067
2020,Benacre Farms,Sir Roberts Walk,7.2,1,2,1,,90,15,14,Y,Y,"Glyphosate, Nirvana",, Aphox,,,07/04/2020,02/07/2020,GB,4.3,18.1,66.4,52.19383,1.39067
2012,Bedingfield Hall Farms,50 Acres,7.5,3,2,2,CL,,,,Y,N, Nirvana,,Hallmark Zeon ,Thiovit Jet,Intensive tillage,10/06/2012,24/08/2012,GS,3.7,20.3,163.4,52.26337,1.21414
2016,Bedingfield Hall Farms,Little Box,7.9,2,2,1,CL,,,,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Intensive tillage,08/06/2016,16/08/2016,NA,3.2,21.2,132.8,52.26337,1.21414
2019,Bedingfield Hall Farms,Two Ten,7.5,3,2,2,CL,,,,Y,N,"Glyphosate, Nirvana",,, Amistar,Ploughing,31/05/2019,,KM,3.9,,,52.26337,1.21414
2012,FG Taylor,Kiln Bottoms,7.5,1,2,1,SCL,0,,,Y,N,"Glyphosate, Nirvana",, Aphox," Amistar, Thiovet Jet",Ploughing,06/06/2012,22/08/2012,CE,2.2,20,188.5,52.1439,1.25783
2013,FG Taylor,Council Huts,8,3,2,2,Clay Loam,0,,,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Ploughing,25/04/2013,21/07/2013,AA,7.5,19,108.7,52.1439,1.25783
2014,FG Taylor,Church,8,2,2,2,SCL,0,40,0,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Ploughing,10/04/2014,06/07/2014,CP,3.3,17.2,122.8,52.1439,1.25783
2020,FG Taylor,Tyes,8,2,2,2,Clay Loam,0,,,Y,N,"Glyphosate, Nirvana",, Decis Protech, Amistar,Ploughing,02/06/2020,15/08/2020,MR,2.9,21.8,76.4,52.1439,1.25783
2015,GL Anderson,Poplar,7.71,1,2,1,,0,0,12,N,N,"Glyphosate, Nirvana", Laser, , ,,18/03/2015,Not harvested,PR,6.3,,,52.80034,1.55076
2020,FOSTER HARRISON FARMS,27 ACRES,6.8,2,2,2,SCL,0,0,0,Y,N, Nirvana,,"Hallmark Zeon, Decis Protech ",,Ploughing,07/05/2020,21/07/2020,BE,6.2,18.7,105.2,,
2020,FOSTER HARRISON FARMS,IVYHOLME,7.4,1,1,2,SCL,0,0,0,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Decis Protech ",,Ploughing,06/05/2020,21/07/2020,BE,6.4,18.6,105.2,,
2020,FOSTER HARRISON FARMS,GOWARDS WEST,7.4,1,1,1,SCL,65,78,0,Y,N, Nirvana,,"Hallmark Zeon, Decis Protech ",,Ploughing,07/05/2020,22/07/2020,BE,4.3,18.7,105.2,,
2013,FG Taylor,Home Field,8,3,1,2,SCL,0,,,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Ploughing,22/04/2013,28/07/2013,CP,7,19.1,144,52.1439,1.25783
2019,CSA,Near Heath,7.1,1,6,3,SL,0,69,0,N,Y, Nirvana, Tropotox, Aphox, Amistar,Non-intensive tillage,20/03/2019,,BT,8,,,52.0712,1.46625
2019,CSA,Postmans Walk,7,1,6,2,SL,0,69,0,N,Y,"Glyphosate, Nirvana", Tropotox, Aphox, Amistar,Non-intensive tillage,20/03/2019,,BT,5,,,52.0712,1.46625
2017,CSA,Black Walk,6.4,1,5,3,SL,90,69,0,N,Y,"Glyphosate, Nirvana", Tropotox, Aphox, Amistar,Non-intensive tillage,28/03/2017,25/06/2017,GE,8,17.3,101.8,52.0712,1.46625
2019,CSA,Pig Heath,7.5,2,5,3,SL,0,69,0,N,Y,"Glyphosate, Nirvana", Tropotox, Aphox, Amistar,Non-intensive tillage,20/03/2019,,BT,8,,,52.0712,1.46625
2013,Benacre Farms,Garden Field HH,7.8,1,4,1,SL,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,24/04/2013,17/07/2013,FS,6.4,16.8,68.5,52.19383,1.39067
2013,Benacre Farms,TenAc HH,7.8,2,4,2,SL,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,24/04/2013,17/07/2013,FS,6,16.8,68.5,52.19383,1.39067
2014,Benacre Farms,Birds Field,7.6,1,4,1,SL,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,10/03/2014,22/06/2014,BT,5.4,15.9,140,52.19383,1.39067
2014,Benacre Farms,Footpath PkFm,7.7,2,4,2,SCL,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,10/03/2014,23/06/2014,BT,5.9,16,142.2,52.19383,1.39067
2012,CSA,Postmans Walk,6.9,2,4,2,SL,52.18,0,0,N,Y,, Basagran,"Hallmark Zeon, Aphox ", Amistar,"Ploughing, Non-intensive tillage",22/03/2012,08/07/2012,SH,9.1,15,307.5,52.0712,1.46625
2015,CSA,Great Walks,7.3,2,4,1,SL,89.69,68.76,0,N,Y, Nirvana, Tropotox, Aphox, Amistar,Ploughing,06/04/2015,Not Harvested,CP,6.5,,,52.0712,1.46625
2016,CSA,Hawthorn Walk,7,1,4,2,SL,102,92,0,N,Y, Nirvana, , Aphox, Amistar,Non-intensive tillage,29/03/2016,03/07/2016,FS,9,15.5,223.2,52.0712,1.46625
2016,CSA,Two-Tree Walk,6.6,1,4,2,SL,102,92,0,N,Y, Nirvana, , Aphox, Amistar,Non-intensive tillage,29/03/2016,03/07/2016,FS,9,15.5,223.2,52.0712,1.46625
2017,CSA,Northern Heath,6.9,1,4,3,SL,90,69,0,N,Y,"Glyphosate, Nirvana", Tropotox, Aphox, Amistar,Non-intensive tillage,28/03/2017,25/06/2017,GE,8,17.3,101.8,52.0712,1.46625
2017,CSA,Suffolk Punch E,6.2,2,4,2,SL,90,69,0,N,Y,"Glyphosate, Nirvana", Tropotox, Aphox, Amistar,Non-intensive tillage,28/03/2017,Not Harvested,GE,6.5,,,52.0712,1.46625
2017,CSA,Suffolk Punch W,6.1,2,4,2,SL,90,69,0,N,Y,"Glyphosate, Nirvana", Tropotox, Aphox, Amistar,Non-intensive tillage,28/03/2017,Not Harvested,GE,6.5,,,52.0712,1.46625
2017,CSA,Boyton Walk,7.3,1,4,1,SL,90,69,0,N,Y,"Glyphosate, Nirvana", Tropotox, Aphox, Amistar,Non-intensive tillage,29/03/2017,Not Harvested,LM,5,,,52.0712,1.46625
2019,CSA,Lourel Farm,7.4,1,4,3,SL,0,98.9,0,N,N,"Glyphosate, Nirvana", Tropotox, Aphox, Amistar,Non-intensive tillage,21/03/2019,,BT,5.3,,,52.0712,1.46625
2020,CSA,Bakers Walk,6.6,1,4,2,SL,0,0,0,N,Y,"Glyphosate, Nirvana", Tropotox, Aphox, Amistar,Non-intensive tillage,23/03/2020,22/06/2020,BT,5.2,16.4,50.8,52.0712,1.46625
2020,CSA,Front Park,7.2,2,4,2,SL,0,0,0,N,N,"Glyphosate, Nirvana", , , ,Non-intensive tillage,24/03/2020,22/06/2020,BT,3.9,16.5,50.8,52.0712,1.46625
2011,CSA,Black Walk,6.9,1,4,2,SL,0,0,0,N,Y, Nirvana, Basagran, Aphox, ,"Non-intensive tillage, Ploughing",,,,,,,52.0712,1.46625
2011,CSA,Garden Field,7.1,2,4,2,SL,52.27,0,0,N,Y, Nirvana, Basagran, Aphox, ,"Non-intensive tillage, Ploughing",,,,,,,52.0712,1.46625
2012,PC Kindred and Son,PG LHS,8.1,3,4,2,CL,,,,Y,, Nirvana,, Aphox, Amistar,Intensive Tillage,01/06/2012,19/08/2012,WX,7.2,19.5,188.5,52.19383,1.39067
2014,PC Kindred and Son,Waters,8.3,3,4,3,CL,,,,Y,, Nirvana,, Aphox, Amistar,Intensive Tillage,14/05/2014,25/07/2014,BE,8.4,20,161,52.19383,1.39067
2015,PC Kindred and Son,Stone Farm Block,8.2,3,4,2,CL,,,,Y,, Nirvana,,"Hallmark Zeon, Aphox ", Amistar,Intensive Tillage,22/04/2015,17/07/2015,BG,8.3,17.7,96.6,52.19383,1.39067
2016,PC Kindred and Son,Newlands,7.8,3,4,2,CL,,,,Y,, Nirvana,, Aphox, Amistar,Intensive Tillage,10/06/2016,19/08/2016,ST,5.6,21,153.8,52.19383,1.39067
2012,Porters Farms ,Covey Field,8.05,3,4,2,CL,0,0,0,Y,N,"Glyphosate, Nirvana", ,"Hallmark Zeon, Aphox "," Amistar, Thiovet Jet",Ploughing,17/05/2012,06/08/2012,BG,6.2,18.9,185.8,52.30887,1.46702
2013,Porters Farms ,Allotment,7.99,2,4,2,CL,0,0,0,Y,N,"Glyphosate, Nirvana", Tropotox,"Hallmark Zeon, Aphox ", Amistar,Ploughing,31/05/2013,12/08/2013,DM,6,20.3,54.1,52.30887,1.46702
2016,Benacre Farms,Hay Field,8.7,2,4,1,,90,15,14,,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,06/04/2016,04/08/2016,FS,6.5,17.6,193.8,52.19383,1.39067
2016,Benacre Farms,Barn Field Fox,7.9,2,4,1,,90,15,14,,, Nirvana,, Aphox, Amistar,Ploughing,07/04/2016,07/07/2016,FS,4.8,16,157.4,52.19383,1.39067
2016,Benacre Farms,Kiln Barn,7.9,1,4,0,,90,15,14,,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,07/04/2016,10/07/2016,FS,6.1,16.3,158.6,52.19383,1.39067
2016,Benacre Farms,Lizers,8,1,4,1,,90,15,14,,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,07/04/2016,07/07/2016,FS,4.8,16,157.2,52.19383,1.39067
2016,Benacre Farms,New Ley,7.9,2,4,1,,90,15,14,,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,08/04/2016,07/07/2016,FS,5,16.1,157.2,52.19383,1.39067
2017,Benacre Farms,Burnt House,7.7,1,4,1,,90,15,14,,Y,"Glyphosate, Nirvana"," Basagran, Tropotox ", Aphox, Amistar,Ploughing,31/03/2017,29/06/2017,SM,6.8,17.5,116,52.19383,1.39067
2020,R.Ellis,pitt fld,7.2,1,4,1,SL,,,,Y,N,"Nirvana, Centium"," Basagran, Tropotox","Hallmark Zeon, Aphox ", Amistar,Ploughing,11/04/2020,13/07/2020,WX,9.4,18.3,97.2,52.76397,1.57433
2012,Benacre Farms,Doulble Hills,7,2,3,1,SCL,90,15,14,Y,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,26/03/2012,15/07/2012,BG,8.4,15.3,350.8,52.19383,1.39067
2012,Benacre Farms,Guildhall Lane,5.9,2,3,1,SL,90,15,14,,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,03/04/2012,17/07/2012,FS,7,15.4,353.1,52.19383,1.39067
2012,Benacre Farms,Hollybush,6.1,2,3,2,SL,90,15,14,,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,03/04/2012,17/07/2012,FS,8.5,15.4,353.1,52.19383,1.39067
2012,Benacre Farms,Covehithe Walk,7.5,2,3,1,SL,90,15,14,,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,08/04/2012,15/07/2012,A4,6.9,15.6,340.4,52.19383,1.39067
2012,Benacre Farms,Long Field BKFm,8,2,3,1,SL,90,15,14,,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,11/04/2012,18/07/2012,FS,5.8,15.8,337.4,52.19383,1.39067
2012,Benacre Farms,Mound2,7.6,2,3,1,LS,90,15,14,,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,11/04/2012,18/07/2012,FS,5.8,15.8,337.4,52.19383,1.39067
2012,Benacre Farms,Potash,7.6,2,3,1,SCL,90,15,14,Y,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,11/04/2012,16/07/2012,A4,6.5,15.8,336,52.19383,1.39067
2013,Benacre Farms,Grey Walk,7.8,2,3,2,SL,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,22/04/2013,18/07/2013,FS,6.5,16.9,68.5,52.19383,1.39067
2013,Benacre Farms,Sir Roberts Walk,8,1,3,1,SL,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,22/04/2013,21/07/2013,FS,7.4,17,68.5,52.19383,1.39067
2013,Benacre Farms,Mulleners,7.9,1,3,1,SL,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,23/04/2013,19/07/2013,BT,6.4,17,68.5,52.19383,1.39067
2013,Benacre Farms,New Road,7.9,2,3,1,SL,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,23/04/2013,19/07/2013,BT,5.8,17,68.5,52.19383,1.39067
2014,Benacre Farms,Footpath HFm,7.8,1,3,2,SCL,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,10/03/2014,22/06/2014,BT,5.1,15.9,140,52.19383,1.39067
2014,Benacre Farms,Beamish Hill,7.8,1,3,1,SL,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,11/03/2014,23/06/2014,BT,3.7,16,142.2,52.19383,1.39067
2015,Benacre Farms,Long Field PFm,7,3,3,1,,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,11/03/2015,26/06/2015,PM,7.3,14.7,102.4,52.19383,1.39067
2015,Benacre Farms,Light Field,7.3,4,3,1,,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,12/03/2015,27/06/2015,PM,9,14.8,102.4,52.19383,1.39067
2015,Benacre Farms,Warren,7.5,2,3,1,,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,12/03/2015,27/06/2015,PM,8.1,14.8,102.4,52.19383,1.39067
2011,Benacre Farms,Chalkers,7,2,3,1,SL,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,,,,,,,52.19383,1.39067
2011,Benacre Farms,Easton Field,8.2,1,3,1,,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,,,,,,,52.19383,1.39067
2011,Benacre Farms,Home Close,8,1,3,1,,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,,,,,,,52.19383,1.39067
2011,Benacre Farms,Weston Field,7.8,1,3,1,,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,,,,,,,52.19383,1.39067
2012,CSA,Stable Hill,7,2,3,2,SL,52.18,0,0,N,Y,, Basagran,"Hallmark Zeon, Aphox ", Amistar,"Ploughing, Non-intensive tillage",22/03/2012,08/07/2012,SH,1.6,15,307.5,52.0712,1.46625
